1,1,14
1,0.366667,
2,0.388889,
3,0.066667,
4,0.033333,
5,0.011111,
6,0.022222,
7,0,
8,0.011111,
15,0,
20,0,
30,0.011111,
35,0.044444,
40,0.022222,
50,0.022222,
1,2,21
1,0.1,
2,0.366667,
3,0.033333,
4,0.083333,
5,0,
6,0.016667,
8,0.05,
9,0.016667,
10,0.05,
11,0.016667,
13,0.016667,
14,0.016667,
15,0.016667,
16,0.033333,
17,0.05,
19,0.016667,
20,0.033333,
22,0.033333,
23,0.016667,
25,0.016667,
26,0.016667,
1,3,21
1,0.033333,
2,0.1,
3,0.1,
4,0.066667,
5,0.033333,
6,0.066667,
8,0.033333,
9,0.033333,
10,0.033333,
11,0.066667,
14,0.033333,
15,0.033333,
17,0.033333,
19,0.066667,
20,0.033333,
26,0.033333,
27,0.033333,
29,0.033333,
40,0.066667,
50,0.033333,
70,0.033333,
2,2,8
10,0.166667,
15,0.333333,
20,0,
30,0.166667,
40,0.166667,
50,0,
75,0,
100,0.166667,
2,3,4
10,0,
40,0.5,
50,0.5,
75,0,
3,2,6
5,0.2,
20,0.2,
30,0.2,
50,0,
60,0.2,
75,0.2,
3,3,10
1,0,
2,0.285714,
5,0,
10,0.142857,
20,0.142857,
30,0,
40,0.142857,
50,0.142857,
60,0.142857,
75,0,
5,2,23
1,0.144928,
2,0.347826,
3,0.115942,
4,0.014493,
6,0.014493,
7,0.028986,
8,0.057971,
9,0.028986,
10,0.014493,
11,0.043478,
12,0,
13,0.014493,
14,0.014493,
15,0.014493,
16,0.014493,
17,0.014493,
20,0.014493,
25,0.014493,
30,0.028986,
35,0.028986,
40,0.014493,
50,0.014493,
75,0,
5,3,11
2,0.2,
5,0.1,
6,0.1,
10,0.1,
20,0.1,
30,0.1,
40,0,
50,0.1,
55,0.1,
65,0,
75,0.1,